month,campaign_name,ad_spend,store_visits,transactions,avg_order_value,discount_rate,sales_revenue,predicted_sales_revenue
2025-01,New Year Sale,18000,42000,3150,42.5,0.12,134800,184840.06179196702
2025-02,Loyalty Push,19500,43800,3295,43.1,0.1,141900,166063.1307929969
2025-03,Spring Refresh,21000,46100,3460,44.0,0.11,152600,175451.596292482
2025-04,Weekend Deals,22500,47200,3515,44.7,0.13,156100,194228.5272914521
2025-05,Member Month,24100,49800,3720,45.2,0.09,168400,156674.66529351185
2025-06,Midyear Clearance,25800,52100,3890,46.1,0.15,179300,213005.45829042225
2025-07,Back To School Preview,27200,54500,4075,46.8,0.12,190100,184840.06179196702
2025-08,Back To School Peak,28900,57800,4320,47.2,0.14,203900,203616.9927909372
2025-09,Payday Promo,30500,59200,4430,48.0,0.1,212500,166063.1307929969
2025-10,Holiday Warmup,32200,61800,4625,48.7,0.11,225300,175451.596292482
2025-11,Black Friday,34800,68100,5110,49.5,0.18,253200,241170.85478887745
2025-12,Year End Holiday,36500,70400,5285,50.2,0.16,265700,222393.9237899073
